"MISSION","SETNO","SDATE","DMIN","DMAX","SURFACE_TEMPERATURE","BOTTOM_TEMPERATURE","LATITUDE","LONGITUDE","YEAR","XTYPE","XTYPEDESC","SPEC","TOTWGT","TOTNO","COMM"
"TEL2016003",30,"2016-03-18 06:03:00",56,59,NA,NA,42.8465,-65.8006666666667,2016,1,"Stratified random survey set",10,0.456,2,"COD(ATLANTIC)"
"NED2013002",4,"2013-02-26 21:01:00",57,61,5.32,NA,42.128,-66.2038333333333,2013,1,"Stratified random survey set",10,32.36,20,"COD(ATLANTIC)"
"NED2011002",66,"2011-03-06 03:58:00",37,39,NA,NA,42.0128333333333,-66.7515,2011,1,"Stratified random survey set",10,67.55,25,"COD(ATLANTIC)"
"NED2011025",28,"2011-07-08 17:33:00",54,54,13.72,5.31,42.5253333333333,-65.4618333333333,2011,1,"Stratified random survey set",10,1.358,3,"COD(ATLANTIC)"
"NED2011025",212,"2011-08-01 03:56:00",47,49,13.52,2.55,45.7076666666667,-58.5708333333333,2011,1,"Stratified random survey set",10,4.58,7,"COD(ATLANTIC)"
"NED2010027",159,"2010-07-28 09:51:00",109,120,18.2,2.53,44.887,-59.7403333333333,2010,1,"Stratified random survey set",10,0.144,1,"COD(ATLANTIC)"
"NED2017020",73,"2017-07-12 06:46:00",106,109,13.38,9.23,42.7253333333333,-67.4891666666667,2017,1,"Stratified random survey set",10,11.64,4,"COD(ATLANTIC)"
"NED2017020",187,"2017-07-28 02:49:00",111,127,15.97,1.72,44.9081666666667,-58.352,2017,1,"Stratified random survey set",10,3.88,3,"COD(ATLANTIC)"
"NED2016016",139,"2016-07-25 17:53:00",116,119,17.9,5.4,45.807,-58.9731666666667,2016,1,"Stratified random survey set",10,3.76,4,"COD(ATLANTIC)"
"TEL2016002",22,"2016-02-26 15:35:00",48,53,6.8,8.3,41.4453333333333,-66.5378333333333,2016,1,"Stratified random survey set",10,1.005,1,"COD(ATLANTIC)"
"NED2016016",31,"2016-07-07 03:22:00",48,50,NA,NA,41.8966666666667,-66.0253333333333,2016,1,"Stratified random survey set",10,61.28,17,"COD(ATLANTIC)"
"NED2013028",49,"2013-08-07 23:41:00",45,46,NA,NA,43.1008333333333,-64.2106666666667,2013,5,"Comparative fishing experiment",10,0.565,3,"COD(ATLANTIC)"
"NED2016016",31,"2016-07-07 03:22:00",48,50,NA,NA,41.8966666666667,-66.0253333333333,2016,1,"Stratified random survey set",10,0.034,24,"COD(ATLANTIC)"
"NED2012022",156,"2012-07-27 00:31:00",91,95,18.09,3.75,44.9671666666667,-59.9548333333333,2012,1,"Stratified random survey set",10,2.83,4,"COD(ATLANTIC)"
"NED2014101",31,"2014-03-17 18:19:00",43,50,NA,NA,44.7926666666667,-65.8125,2014,1,"Stratified random survey set",10,0.19,1,"COD(ATLANTIC)"
"NED2010027",198,"2010-08-04 04:21:00",39,40,NA,NA,43.3866666666667,-61.2605,2010,1,"Stratified random survey set",10,14.3,39,"COD(ATLANTIC)"
"NED2013022",234,"2013-07-31 07:57:00",55,59,18.88,2.36,46.8888333333333,-60.2013333333333,2013,1,"Stratified random survey set",10,2.53,9,"COD(ATLANTIC)"
"NED2014018",46,"2014-07-19 03:21:00",57,59,10.78,8.31,44.7421666666667,-66.0985,2014,1,"Stratified random survey set",10,1.572,1,"COD(ATLANTIC)"
"NED2014018",93,"2014-07-28 22:22:00",54,54,20.37,9.16,43.1818333333333,-62.4733333333333,2014,1,"Stratified random survey set",10,0.162,3,"COD(ATLANTIC)"
"NED2013022",73,"2013-07-10 12:59:00",31,33,10.06,9.89,45.1608333333333,-65.2171666666667,2013,1,"Stratified random survey set",10,0.431,2,"COD(ATLANTIC)"
"NED2012002",38,"2012-02-17 12:57:00",37,38,6.61,6.6,41.4603333333333,-66.847,2012,1,"Stratified random survey set",10,7.76,2,"COD(ATLANTIC)"
"NED2013002",5,"2013-02-26 23:05:00",46,48,4.85,6.38,42.0755,-66.3315,2013,1,"Stratified random survey set",10,5.76,8,"COD(ATLANTIC)"
"NED2015017",206,"2015-08-14 02:13:00",51,56,16.53,3.12,44.7206666666667,-58.791,2015,1,"Stratified random survey set",10,0.354,1,"COD(ATLANTIC)"
"NED2013028",184,"2013-08-17 12:36:00",27,27,NA,NA,44.6773333333333,-60.7258333333333,2013,5,"Comparative fishing experiment",10,0.878,3,"COD(ATLANTIC)"
"NED2012002",106,"2012-03-11 23:35:00",46,46,3.2,5.51,42.9416666666667,-64.8775,2012,1,"Stratified random survey set",10,3.97,9,"COD(ATLANTIC)"
"NED2010002",80,"2010-03-29 05:17:00",57,60,NA,NA,43.3755,-60.8498333333333,2010,1,"Stratified random survey set",10,2.34,8,"COD(ATLANTIC)"
"NED2015017",93,"2015-07-12 13:03:00",92,97,9.49,7.24,44.5035,-66.55,2015,1,"Stratified random survey set",10,2.87,6,"COD(ATLANTIC)"
"NED2016016",124,"2016-07-23 21:58:00",35,43,16.5,1.4,46.6296666666667,-59.9743333333333,2016,1,"Stratified random survey set",10,3,9,"COD(ATLANTIC)"
"NED2015017",46,"2015-07-07 09:38:00",41,43,12.78,2.7,43.4556666666667,-64.7541666666667,2015,1,"Stratified random survey set",10,1.322,2,"COD(ATLANTIC)"
"NED2010001",34,"2010-03-02 19:32:00",24,25,4.78,4.79,41.4001666666667,-67.2606666666667,2010,1,"Stratified random survey set",10,4.54,2,"COD(ATLANTIC)"
"TEL2016002",4,"2016-02-24 19:53:00",46,49,NA,NA,41.9813333333333,-66.176,2016,1,"Stratified random survey set",10,114.59,41,"COD(ATLANTIC)"
"NED2017020",156,"2017-07-23 08:07:00",65,71,16.58,1.78,46.421,-59.4405,2017,1,"Stratified random survey set",10,8.07,10,"COD(ATLANTIC)"
"VEN2018002",23,"2018-03-23 23:27:00",26,27,NA,NA,41.4338333333333,-67.1596666666667,2018,1,"Stratified random survey set",10,1.98,1,"COD(ATLANTIC)"
"NED2013028",50,"2013-08-08 02:43:00",45,46,NA,NA,42.976,-64.7133333333333,2013,5,"Comparative fishing experiment",10,23.69,39,"COD(ATLANTIC)"
"NED2012002",112,"2012-03-12 14:25:00",115,143,4.09,9.77,42.4053333333333,-64.8781666666667,2012,1,"Stratified random survey set",10,3.81,2,"COD(ATLANTIC)"
"NED2015017",114,"2015-08-02 18:02:00",132,134,19.3,7.55,42.2095,-66.111,2015,1,"Stratified random survey set",10,3.3,1,"COD(ATLANTIC)"
"NED2017020",236,"2017-08-10 09:02:00",43,46,NA,NA,43.5718333333333,-62.5163333333333,2017,1,"Stratified random survey set",10,0.124,1,"COD(ATLANTIC)"
"NED2014002",41,"2014-02-26 16:00:00",43,45,5.28,5.29,41.5758333333333,-66.6163333333333,2014,1,"Stratified random survey set",10,6.33,4,"COD(ATLANTIC)"
"NED2013022",137,"2013-07-19 02:37:00",34,39,15.72,4.11,43.6263333333333,-60.3203333333333,2013,1,"Stratified random survey set",10,0.005,4,"COD(ATLANTIC)"
"NED2013022",191,"2013-07-26 14:01:00",35,35,17.16,2.48,44.4151666666667,-58.3001666666667,2013,1,"Stratified random survey set",10,2.662,1,"COD(ATLANTIC)"
"NED2010027",200,"2010-08-04 05:40:00",43,44,18.56,3.56,43.3958333333333,-61.093,2010,1,"Stratified random survey set",10,5.7,22,"COD(ATLANTIC)"
"NED2014102",29,"2014-03-16 07:14:00",51,52,NA,NA,44.9123333333333,-65.8663333333333,2014,5,"Comparative fishing experiment",10,0.517,4,"COD(ATLANTIC)"
"NED2017020",129,"2017-07-17 15:09:00",69,72,15.31,8.67,42.9425,-63.8203333333333,2017,1,"Stratified random survey set",10,1.77,1,"COD(ATLANTIC)"
"TEL2018023",65,"2018-07-23 09:11:00",43,43,11.5,10.1,45.0996666666667,-65.806,2018,1,"Stratified random survey set",10,5.19,1,"COD(ATLANTIC)"
"NED2013002",6,"2013-02-27 00:35:00",46,48,NA,NA,42.0265,-66.3483333333333,2013,1,"Stratified random survey set",10,17.5,15,"COD(ATLANTIC)"
"NED2012002",40,"2012-02-17 17:37:00",29,29,NA,NA,41.6791666666667,-67.1893333333333,2012,1,"Stratified random survey set",10,1.61,1,"COD(ATLANTIC)"
"NED2014002",42,"2014-02-26 19:16:00",43,45,5.41,5.31,41.2263333333333,-66.6336666666667,2014,1,"Stratified random survey set",10,5.68,2,"COD(ATLANTIC)"
"NED2017020",32,"2017-07-08 00:21:00",80,83,13.71,7.88,43.7483333333333,-66.8191666666667,2017,1,"Stratified random survey set",10,4,3,"COD(ATLANTIC)"
"NED2013028",112,"2013-08-12 14:03:00",53,54,NA,NA,42.7296666666667,-65.089,2013,5,"Comparative fishing experiment",10,1.868,2,"COD(ATLANTIC)"
"NED2014101",32,"2014-03-17 21:00:00",50,51,NA,NA,44.7643333333333,-65.9651666666667,2014,1,"Stratified random survey set",10,0.762,2,"COD(ATLANTIC)"
"NED2017020",57,"2017-07-10 11:22:00",52,55,12.56,7.71,45.0036666666667,-65.8555,2017,1,"Stratified random survey set",10,0.001,1,"COD(ATLANTIC)"
"NED2013002",26,"2013-03-01 10:08:00",93,94,5.92,8.61,42.172,-67.2575,2013,1,"Stratified random survey set",10,4.67,4,"COD(ATLANTIC)"
"NED2015017",47,"2015-07-07 11:41:00",45,48,13.18,2.92,43.3193333333333,-64.8365,2015,1,"Stratified random survey set",10,1.088,1,"COD(ATLANTIC)"
"NED2010027",39,"2010-07-12 00:50:00",51,56,10.2,7.98,43.8818333333333,-66.634,2010,1,"Stratified random survey set",10,0.104,1,"COD(ATLANTIC)"
"TEL2016003",35,"2016-03-18 17:52:00",83,86,NA,NA,42.73,-66.5518333333333,2016,1,"Stratified random survey set",10,1.182,2,"COD(ATLANTIC)"
"TEL2016002",63,"2016-03-06 09:32:00",75,78,NA,NA,41.5663333333333,-69.2701666666667,2016,1,"Stratified random survey set",10,1.246,2,"COD(ATLANTIC)"
"NED2013028",14,"2013-08-01 19:43:00",87,94,NA,NA,45.3496666666667,-57.7628333333333,2013,5,"Comparative fishing experiment",10,16,19,"COD(ATLANTIC)"
"NED2016016",195,"2016-08-04 04:01:00",54,58,17.7,8.1,42.774,-65.3538333333333,2016,1,"Stratified random survey set",10,6.49,1,"COD(ATLANTIC)"
"NED2017020",114,"2017-07-16 01:16:00",51,52,14.03,12.51,42.3793333333333,-65.5336666666667,2017,1,"Stratified random survey set",10,0.001,1,"COD(ATLANTIC)"
"NED2012002",41,"2012-02-17 19:27:00",33,35,6.57,6.58,41.6866666666667,-67.0145,2012,1,"Stratified random survey set",10,8.06,4,"COD(ATLANTIC)"
"TEL2016003",53,"2016-03-21 10:31:00",87,89,NA,NA,44.0776666666667,-67.0101666666667,2016,1,"Stratified random survey set",10,2.92,3,"COD(ATLANTIC)"
"NED2015017",94,"2015-07-12 18:09:00",66,72,12.24,7.31,44.1725,-67.1541666666667,2015,1,"Stratified random survey set",10,1.276,1,"COD(ATLANTIC)"
"NED2010002",82,"2010-03-29 08:32:00",45,45,NA,NA,43.4743333333333,-60.751,2010,1,"Stratified random survey set",10,3.74,17,"COD(ATLANTIC)"
"NED2016016",126,"2016-07-24 02:03:00",63,68,17.3,2.9,46.8056666666667,-59.8428333333333,2016,1,"Stratified random survey set",10,953.86,1681,"COD(ATLANTIC)"
"NED2016116",39,"2016-08-14 09:05:00",36,38,NA,NA,43.6406666666667,-62.4326666666667,2016,5,"Comparative fishing experiment",10,0.002,1,"COD(ATLANTIC)"
"NED2012022",83,"2012-07-14 15:06:00",58,62,14.7,8.96,44.8405,-66.0655,2012,1,"Stratified random survey set",10,2.21,4,"COD(ATLANTIC)"
"NED2010002",27,"2010-03-14 21:00:00",55,60,0.5,NA,45.4726666666667,-59.488,2010,1,"Stratified random survey set",10,0.105,1,"COD(ATLANTIC)"
"NED2016016",174,"2016-07-29 10:32:00",63,80,17.6,4.8,44.4128333333333,-59.371,2016,1,"Stratified random survey set",10,0.173,1,"COD(ATLANTIC)"
"NED2013002",7,"2013-02-27 02:39:00",45,48,NA,NA,42.0181666666667,-66.3761666666667,2013,1,"Stratified random survey set",10,13.06,12,"COD(ATLANTIC)"
"NED2011025",171,"2011-07-27 21:04:00",94,96,14.86,9.87,44.2755,-62.9293333333333,2011,1,"Stratified random survey set",10,0.115,1,"COD(ATLANTIC)"
"NED2011025",67,"2011-07-12 14:45:00",54,56,12.51,8.09,44.9535,-66.3901666666667,2011,1,"Stratified random survey set",10,10.54,3,"COD(ATLANTIC)"
"NED2011025",118,"2011-07-18 09:06:00",45,48,13.78,6,43.475,-62.4998333333333,2011,1,"Stratified random survey set",10,0.352,2,"COD(ATLANTIC)"
"NED2014018",173,"2014-08-09 12:23:00",80,83,21.65,4.4,46.7233333333333,-60.2113333333333,2014,1,"Stratified random survey set",10,3.81,4,"COD(ATLANTIC)"
"NED2011002",25,"2011-02-24 13:05:00",39,40,NA,NA,42.0691666666667,-66.7465,2011,1,"Stratified random survey set",10,14.16,6,"COD(ATLANTIC)"
"TEL2016002",26,"2016-02-26 22:32:00",41,44,6.4,6.4,41.6075,-66.5303333333333,2016,1,"Stratified random survey set",10,5.41,1,"COD(ATLANTIC)"
"NED2015002",52,"2015-03-25 05:11:00",37,42,3.9,4,42.0131666666667,-66.8118333333333,2015,1,"Stratified random survey set",10,29.42,12,"COD(ATLANTIC)"
"NED2015017",159,"2015-08-08 05:55:00",51,71,NA,NA,45.1845,-59.1978333333333,2015,1,"Stratified random survey set",10,2.73,4,"COD(ATLANTIC)"
"TEL2017002",57,"2017-03-29 17:59:00",54,54,1.4,3.6,42.4876666666667,-65.5685,2017,1,"Stratified random survey set",10,14.974,16,"COD(ATLANTIC)"
"NED2012022",98,"2012-07-16 13:42:00",145,146,18.58,8.4,42.513,-66.6133333333333,2012,1,"Stratified random survey set",10,8.16,2,"COD(ATLANTIC)"
"NED2014101",47,"2014-03-21 06:25:00",60,60,NA,NA,42.4546666666667,-65.3013333333333,2014,1,"Stratified random survey set",10,4.31,3,"COD(ATLANTIC)"
"NED2012002",108,"2012-03-12 06:09:00",55,57,3.52,5.11,42.7473333333333,-65.5381666666667,2012,1,"Stratified random survey set",10,3.11,4,"COD(ATLANTIC)"
"NED2013028",114,"2013-08-12 17:05:00",49,51,NA,NA,42.8918333333333,-64.7706666666667,2013,5,"Comparative fishing experiment",10,7.22,3,"COD(ATLANTIC)"
"VEN2018002",26,"2018-03-24 06:18:00",30,31,NA,5.6,41.084,-67.576,2018,1,"Stratified random survey set",10,5.96,4,"COD(ATLANTIC)"
"NED2016016",127,"2016-07-24 03:44:00",89,91,16.2,5.1,46.9615,-59.992,2016,1,"Stratified random survey set",10,4.72,13,"COD(ATLANTIC)"
"NED2010027",40,"2010-07-12 04:10:00",40,46,9.5,8.61,44.0045,-66.4668333333333,2010,1,"Stratified random survey set",10,0.27,2,"COD(ATLANTIC)"
"NED2014101",33,"2014-03-18 05:14:00",50,59,NA,NA,44.7626666666667,-66.0638333333333,2014,1,"Stratified random survey set",10,0.101,1,"COD(ATLANTIC)"
"NED2013002",29,"2013-03-01 14:40:00",95,97,6.12,8.13,42.0858333333333,-67.6783333333333,2013,1,"Stratified random survey set",10,2.86,3,"COD(ATLANTIC)"
"NED2010002",28,"2010-03-15 01:01:00",44,47,0.94,1.49,45.2315,-58.8458333333333,2010,1,"Stratified random survey set",10,0.094,1,"COD(ATLANTIC)"
"NED2014018",133,"2014-08-02 04:08:00",25,25,18,9.56,44.043,-59.9126666666667,2014,1,"Stratified random survey set",10,0.01,2,"COD(ATLANTIC)"
"NED2012022",25,"2012-07-07 10:59:00",62,65,16.44,11.22,43.5095,-62.941,2012,1,"Stratified random survey set",10,0.166,1,"COD(ATLANTIC)"
"NED2015017",209,"2015-08-14 08:38:00",33,35,16.72,4.34,44.4116666666667,-58.7706666666667,2015,1,"Stratified random survey set",10,0.092,1,"COD(ATLANTIC)"
"NED2015017",95,"2015-07-12 21:24:00",81,87,15.27,7.25,43.8918333333333,-66.9346666666667,2015,1,"Stratified random survey set",10,7.5,2,"COD(ATLANTIC)"
"NED2012002",43,"2012-02-17 23:08:00",35,37,NA,NA,41.781,-66.8118333333333,2012,1,"Stratified random survey set",10,9.16,3,"COD(ATLANTIC)"
"NED2013002",8,"2013-02-27 04:23:00",45,48,5.97,6.03,42.0195,-66.4176666666667,2013,1,"Stratified random survey set",10,0.39,1,"COD(ATLANTIC)"
"NED2016016",95,"2016-07-16 00:44:00",49,50,15,8.1,42.668,-65.4843333333333,2016,1,"Stratified random survey set",10,22.392,6,"COD(ATLANTIC)"
"NED2013022",98,"2013-07-15 01:35:00",58,59,17.38,8.3,43.7553333333333,-63.2501666666667,2013,1,"Stratified random survey set",10,0.17,95,"COD(ATLANTIC)"
"NED2011025",16,"2011-07-07 12:03:00",45,49,13.45,4.23,43.2891666666667,-64.7896666666667,2011,1,"Stratified random survey set",10,0.412,2,"COD(ATLANTIC)"
"NED2011025",68,"2011-07-12 17:02:00",86,87,12.39,7.58,44.7731666666667,-66.4165,2011,1,"Stratified random survey set",10,5.4,1,"COD(ATLANTIC)"
"NED2014102",31,"2014-03-17 17:01:00",44,47,NA,NA,44.8001666666667,-65.7958333333333,2014,5,"Comparative fishing experiment",10,0.406,7,"COD(ATLANTIC)"
"NED2014101",5,"2014-03-08 20:29:00",63,66,NA,NA,43.4525,-63.9778333333333,2014,1,"Stratified random survey set",10,0.446,3,"COD(ATLANTIC)"
"NED2013028",1,"2013-07-31 11:12:00",94,95,NA,NA,47.0283333333333,-60.1463333333333,2013,5,"Comparative fishing experiment",10,6.39,9,"COD(ATLANTIC)"
"NED2013022",195,"2013-07-26 23:48:00",57,63,17.6,7.11,44.202,-58.295,2013,1,"Stratified random survey set",10,1.22,3,"COD(ATLANTIC)"
"NED2014018",157,"2014-08-07 12:51:00",70,77,19.65,2.65,45.33,-60.1205,2014,1,"Stratified random survey set",10,0.6,2,"COD(ATLANTIC)"
"TEL2018023",3,"2018-07-14 04:09:00",69,81,14.7,9.6,44.1616666666667,-63.4716666666667,2018,1,"Stratified random survey set",10,0.001,1,"COD(ATLANTIC)"
"NED2014018",90,"2014-07-28 13:05:00",50,51,19.71,7.37,43.4503333333333,-62.5473333333333,2014,1,"Stratified random survey set",10,1.14,1,"COD(ATLANTIC)"
"NED2012002",44,"2012-02-18 00:19:00",31,35,6.57,6.58,41.8008333333333,-66.772,2012,1,"Stratified random survey set",10,12.44,3,"COD(ATLANTIC)"
"VEN2018002",49,"2018-03-25 20:11:00",42,45,NA,6.8,42.0935,-66.586,2018,1,"Stratified random survey set",10,36.54,11,"COD(ATLANTIC)"
"NED2016016",24,"2016-07-06 06:49:00",113,117,15.3,8.9,42.4171666666667,-65.9513333333333,2016,1,"Stratified random survey set",10,4.8,2,"COD(ATLANTIC)"
"NED2016016",176,"2016-07-29 15:51:00",83,88,18.6,7.9,44.22,-59.7565,2016,1,"Stratified random survey set",10,0.312,1,"COD(ATLANTIC)"
"NED2011025",216,"2011-08-01 14:30:00",35,38,15.59,2.24,45.449,-58.8525,2011,1,"Stratified random survey set",10,0.63,1,"COD(ATLANTIC)"
"NED2010027",13,"2010-07-08 09:35:00",74,75,15.95,6.53,43.6571666666667,-64.6415,2010,1,"Stratified random survey set",10,0.004,1,"COD(ATLANTIC)"
"NED2010027",41,"2010-07-12 07:01:00",44,44,9.47,8.57,44.2268333333333,-66.5035,2010,1,"Stratified random survey set",10,0.152,2,"COD(ATLANTIC)"
"NED2012022",141,"2012-07-21 00:20:00",44,46,17.56,5.57,44.354,-61.1881666666667,2012,1,"Stratified random survey set",10,0.93,1,"COD(ATLANTIC)"
"NED2013028",54,"2013-08-08 08:23:00",42,43,NA,NA,42.9801666666667,-64.8153333333333,2013,5,"Comparative fishing experiment",10,5.25,7,"COD(ATLANTIC)"
"VEN2018002",28,"2018-03-24 09:16:00",30,32,NA,5.9,41.17,-67.1955,2018,1,"Stratified random survey set",10,2.63,1,"COD(ATLANTIC)"
"NED2014102",49,"2014-03-21 16:57:00",55,56,NA,NA,42.8275,-64.7015,2014,5,"Comparative fishing experiment",10,4.65,4,"COD(ATLANTIC)"
"NED2011025",17,"2011-07-07 14:19:00",88,89,14.16,6.15,43.2713333333333,-65.0691666666667,2011,1,"Stratified random survey set",10,3.98,1,"COD(ATLANTIC)"
"NED2015017",50,"2015-07-07 19:31:00",85,87,12.74,6.89,42.9356666666667,-65.2895,2015,1,"Stratified random survey set",10,5.51,2,"COD(ATLANTIC)"
"NED2013002",9,"2013-02-27 06:34:00",43,44,6.08,6.56,42.0561666666667,-66.5265,2013,1,"Stratified random survey set",10,0.491,1,"COD(ATLANTIC)"
"NED2012002",67,"2012-03-02 21:38:00",35,40,NA,NA,41.6548333333333,-66.621,2012,1,"Stratified random survey set",10,3.51,1,"COD(ATLANTIC)"
"NED2015017",96,"2015-07-12 23:09:00",71,75,NA,NA,43.8396666666667,-66.856,2015,1,"Stratified random survey set",10,3.72,3,"COD(ATLANTIC)"
"NED2014101",34,"2014-03-18 07:14:00",57,58,NA,NA,44.7216666666667,-66.1403333333333,2014,1,"Stratified random survey set",10,0.17,1,"COD(ATLANTIC)"
"NED2012022",49,"2012-07-11 02:07:00",119,121,17.11,9.08,42.4305,-65.988,2012,1,"Stratified random survey set",10,4.96,2,"COD(ATLANTIC)"
"NED2013028",75,"2013-08-09 20:32:00",105,108,NA,NA,42.9261666666667,-66.7116666666667,2013,5,"Comparative fishing experiment",10,0.868,1,"COD(ATLANTIC)"
"NED2016016",129,"2016-07-24 08:53:00",77,78,NA,NA,47.0158333333333,-60.2295,2016,1,"Stratified random survey set",10,12.26,20,"COD(ATLANTIC)"
"NED2014102",32,"2014-03-18 00:53:00",51,53,NA,NA,44.767,-65.9486666666667,2014,5,"Comparative fishing experiment",10,1.99,14,"COD(ATLANTIC)"
"NED2016016",36,"2016-07-07 20:13:00",49,51,NA,NA,41.3675,-66.4215,2016,1,"Stratified random survey set",10,3.116,1,"COD(ATLANTIC)"
"NED2011025",221,"2011-08-02 05:03:00",26,27,14.47,4.07,45.0123333333333,-57.6496666666667,2011,1,"Stratified random survey set",10,69.28,46,"COD(ATLANTIC)"
"NED2014018",113,"2014-07-30 22:40:00",29,32,NA,NA,43.8971666666667,-61.3198333333333,2014,1,"Stratified random survey set",10,0.956,2,"COD(ATLANTIC)"
"NED2010002",86,"2010-03-29 16:36:00",31,34,NA,NA,43.6183333333333,-60.8183333333333,2010,1,"Stratified random survey set",10,2.79,8,"COD(ATLANTIC)"
"VEN2018002",29,"2018-03-24 10:34:00",33,34,NA,5.9,41.2093333333333,-67.1266666666667,2018,1,"Stratified random survey set",10,2.374,2,"COD(ATLANTIC)"
"NED2017020",158,"2017-07-23 13:28:00",39,44,19.94,1.27,46.4433333333333,-60.1663333333333,2017,1,"Stratified random survey set",10,0.957,1,"COD(ATLANTIC)"
"NED2015017",51,"2015-07-07 22:07:00",63,67,10.64,4.62,43.0376666666667,-65.5011666666667,2015,1,"Stratified random survey set",10,4.48,2,"COD(ATLANTIC)"
"NED2010027",42,"2010-07-12 08:47:00",96,100,12.15,7.9,44.228,-66.6431666666667,2010,1,"Stratified random survey set",10,2.44,2,"COD(ATLANTIC)"
"NED2011025",268,"2011-08-06 16:43:00",37,37,16.15,4.46,43.6036666666667,-60.3398333333333,2011,1,"Stratified random survey set",10,0.515,2,"COD(ATLANTIC)"
"NED2010027",205,"2010-08-04 18:49:00",30,32,NA,NA,43.6966666666667,-60.804,2010,1,"Stratified random survey set",10,11.35,36,"COD(ATLANTIC)"
"NED2016016",53,"2016-07-11 01:58:00",98,100,12.3,7.9,44.231,-66.7588333333333,2016,1,"Stratified random survey set",10,56.3,26,"COD(ATLANTIC)"
"NED2014101",51,"2014-03-21 20:39:00",49,51,NA,NA,42.9728333333333,-64.626,2014,1,"Stratified random survey set",10,4.02,6,"COD(ATLANTIC)"
"NED2011025",18,"2011-07-07 17:10:00",83,83,14.87,6.93,43.1025,-65.0221666666667,2011,1,"Stratified random survey set",10,11.94,4,"COD(ATLANTIC)"
"NED2013022",85,"2013-07-12 00:12:00",60,69,9.41,5.3,43.0571666666667,-65.5725,2013,1,"Stratified random survey set",10,7.874,13,"COD(ATLANTIC)"
"NED2014018",211,"2014-08-13 23:19:00",36,37,20.16,3.28,44.497,-58.4951666666667,2014,1,"Stratified random survey set",10,0.975,1,"COD(ATLANTIC)"
"NED2011025",217,"2011-08-01 18:10:00",72,77,13.94,3.61,45.2876666666667,-58.3483333333333,2011,1,"Stratified random survey set",10,0.021,1,"COD(ATLANTIC)"
"NED2015002",55,"2015-03-25 14:06:00",60,63,4.8,5.2,42.049,-67.6455,2015,1,"Stratified random survey set",10,5.94,13,"COD(ATLANTIC)"
"NED2016016",178,"2016-07-29 18:55:00",29,31,18.5,4.2,44.0848333333333,-59.7293333333333,2016,1,"Stratified random survey set",10,0.004,2,"COD(ATLANTIC)"
"NED2015017",163,"2015-08-08 16:05:00",77,85,17.57,6,45.6836666666667,-59.258,2015,1,"Stratified random survey set",10,1.252,5,"COD(ATLANTIC)"
"NED2017020",242,"2017-08-10 20:50:00",37,38,NA,NA,43.7895,-61.6816666666667,2017,1,"Stratified random survey set",10,0.001,1,"COD(ATLANTIC)"
"NED2016016",79,"2016-07-14 03:18:00",92,95,13.3,8.8,43.5423333333333,-66.9653333333333,2016,1,"Stratified random survey set",10,3.324,1,"COD(ATLANTIC)"
"NED2014018",114,"2014-07-31 01:07:00",27,27,NA,NA,44.024,-60.99,2014,1,"Stratified random survey set",10,1.138,3,"COD(ATLANTIC)"
"NED2012022",51,"2012-07-11 05:49:00",45,46,15.86,11.05,42.5545,-65.8435,2012,1,"Stratified random survey set",10,3.81,1,"COD(ATLANTIC)"
"NED2012022",143,"2012-07-21 08:23:00",49,51,18.38,8.86,43.9813333333333,-62.3668333333333,2012,1,"Stratified random survey set",10,0.288,1,"COD(ATLANTIC)"
"NED2015017",97,"2015-07-13 00:43:00",57,60,13.79,7.01,43.6423333333333,-66.834,2015,1,"Stratified random survey set",10,0.112,1,"COD(ATLANTIC)"
"NED2013028",18,"2013-08-02 02:30:00",22,25,NA,NA,44.7515,-57.8431666666667,2013,5,"Comparative fishing experiment",10,50.57,35,"COD(ATLANTIC)"
"NED2016016",130,"2016-07-24 10:02:00",38,41,NA,NA,46.9463333333333,-60.2426666666667,2016,1,"Stratified random survey set",10,1.05,3,"COD(ATLANTIC)"
"NED2010027",206,"2010-08-04 20:13:00",26,27,18.92,9.44,43.7646666666667,-60.666,2010,1,"Stratified random survey set",10,1.216,6,"COD(ATLANTIC)"
"NED2012002",46,"2012-02-18 05:03:00",46,46,NA,NA,42.0685,-66.4188333333333,2012,1,"Stratified random survey set",10,19.57,10,"COD(ATLANTIC)"
"NED2013028",7,"2013-08-01 04:23:00",130,135,NA,NA,45.8005,-58.9086666666667,2013,5,"Comparative fishing experiment",10,16.59,11,"COD(ATLANTIC)"
"NED2014018",36,"2014-07-17 23:02:00",78,80,10.76,7.64,44.8721666666667,-66.7678333333333,2014,1,"Stratified random survey set",10,5.18,7,"COD(ATLANTIC)"
"NED2011025",19,"2011-07-07 19:14:00",48,50,15.31,4.4,43.0383333333333,-64.833,2011,1,"Stratified random survey set",10,2.58,2,"COD(ATLANTIC)"
"NED2015017",69,"2015-07-10 00:39:00",38,40,9.23,7.85,43.7936666666667,-66.3998333333333,2015,1,"Stratified random survey set",10,0.594,2,"COD(ATLANTIC)"
"NED2014101",35,"2014-03-18 18:39:00",92,92,NA,NA,44.0776666666667,-66.9091666666667,2014,1,"Stratified random survey set",10,1.416,1,"COD(ATLANTIC)"
"NED2012022",193,"2012-07-31 10:38:00",38,42,18.08,2.75,45.2148333333333,-58.01,2012,1,"Stratified random survey set",10,0.548,1,"COD(ATLANTIC)"
